Gene1	Gene2	Score
YEL065W	YBR294W	0.199245
YML123C	YHR136C	0.19924
YKR075C	YMR291W	0.198706
YFL059W	YBL113C	0.198421
YLL067C	tM(CAU)J3	0.198116
YBL045C	YOR065W	0.197723
YGL118C	tG(GCC)J1	0.197196
YEL022W	YBL097W	0.196712
YML091C	YDR522C	0.196152
YCL016C	YDL230W	0.195981
YLR202C	tM(CAU)J3	0.194828
YDR402C	YFL062W	0.194402
YDR034W-B	YDR379C-A	0.19431
YDR417C	YLR061W	0.194061
YNL014W	YOR120W	0.194029
YDR309C	YPL197C	0.193776
YLR267W	tN(GUU)N1	0.192884
YIL020C-A	YAL016C-B	0.192858
YBR298C	YJL106W	0.192469
YGR189C	YMR305C	0.192377
YJL032W	YAL037C-A	0.191694
YLR437C-A	YLR438W	0.191662
YOR382W	YOL158C	0.190926
YNL254C	YJL056C	0.189639
YBR195C	YOL007C	0.188563
YMR084W	YMR085W	0.188166
YML066C	YPL201C	0.187724
YBR158W	YPL201C	0.187702
YKR003W	YDR461W	0.187659
YMR107W	tA(UGC)A	0.187579
YMR291W	YMR011W	0.18705
YDR209C	YOL014W	0.186999
YCR041W	YDL187C	0.186609
YKR039W	YPL111W	0.186009
YIR039C	YGL259W	0.185783
YOR313C	YOR107W	0.185428
YGL221C	YDR155C	0.185252
YKR094C	YJL190C	0.184828
YKL104C	YNL057W	0.184399
YPL034W	YDR210W-A	0.184304
YNL289W	YDL127W	0.183723
YHR025W	YER088C-A	0.183536
YIL041W	YBR234C	0.183156
YMR085W	YMR084W	0.183082
YHR125W	YOR329W-A	0.183031
YPL089C	YOR208W	0.182839
YHR071C-A	YCL042W	0.182712
YML008C	YNL280C	0.182549
YGL016W	YBR064W	0.182385
YLR129W	YBR238C	0.182095
YOR331C	YJR018W	0.18138
YGL021W	YOR058C	0.181292
YIL169C	YHR213W-B	0.180199
YBL008W-A	tE(UUC)M	0.179895
YOR355W	YGL215W	0.1798
YLR348C	tE(UUC)E3	0.179563
YOR248W	YDR154C	0.179536
YDR413C	YNL235C	0.179279
YFL013W-A	YLR046C	0.178771
YMR319C	tK(CUU)G3	0.178488
YJL009W	YDR445C	0.178419
YOR010C	YOR009W	0.17809
snR11	YGR075C	0.177999
YKR075C	YMR011W	0.177733
YDL003W	YDR451C	0.177317
YLR437C	YOR376W	0.17697
YJR018W	YOR331C	0.176619
YDR351W	YIL162W	0.176309
YLR269C	YKL118W	0.175969
YDL185C-A	YDR510C-A	0.175538
YDR365C	YCR018C	0.175152
YBR126C	YCL040W	0.175144
YOR359W	YML043C	0.174841
YER062C	YOL136C	0.174777
YGR065C	YGR286C	0.174716
YEL073C	YDR497C	0.174648
YFR015C	YER067C-A	0.174615
YPR154W	YBR066C	0.174506
YBR208C	YNL054W-B	0.174346
YKL216W	YOL126C	0.173967
YGR205W	YOL154W	0.173876
YJR151C	YOR009W	0.173796
YEL033W	YDL185C-A	0.173239
