Gene1	Gene2	Score
YIL122W	YBR083W	0.107538
YAL068C	YBL108C-A	0.107464
YDR134C	YGL256W	0.10744
YER067C-A	YEL011W	0.107385
YIR036W-A	YCL007C	0.107371
YJR155W	YJR154W	0.107365
YOR178C	YJL170C	0.107306
YKL161C	YIR043C	0.10716
YMR189W	YDR019C	0.107096
YCR075C	YPR037C	0.107034
YDR437W	YEL028W	0.107005
YDR289C	snR71	0.106997
YGR208W	YJL173C	0.106909
YOR164C	YOL069W	0.106776
YOL031C	YKL165C	0.106683
YFL038C	YIL043C	0.10659
YJL015C	YGL052W	0.10653
YLL011W	YKR024C	0.106528
YOR382W	YHL047C	0.106517
YCR089W	YLR255C	0.106439
YOL016C	YCL027W	0.106422
YGR028W	YBR201W	0.106363
YGR064W	YOR102W	0.10635
YGL101W	YLR364W	0.106222
YER028C	YGR243W	0.10615
YMR079W	YDR374C	0.106033
YPL002C	YDL243C	0.106016
YOR356W	YOL112W	0.105952
YHR078W	YOR057W	0.105918
YBR089C-A	YDR461W	0.105848
YLR042C	YDR309C	0.105782
YDL237W	YLR421C	0.105724
YOR313C	YHR218W	0.105703
YBR150C	YER028C	0.105699
YIL169C	YOL155C	0.105591
YGL045W	YDL129W	0.105588
YKL161C	YMR323W	0.10557
YPR150W	tS(AGA)L	0.10554
YDR343C	YER067C-A	0.105538
YLR177W	YHL036W	0.10547
YNL093W	YHR087W	0.105411
YBL026W	YOR073W-A	0.105392
YER124C	YOL154W	0.105179
YHL031C	YLR229C	0.105179
YBL091C-A	YGL208W	0.105176
YJR105W	YPL048W	0.105017
YLR433C	YPR162C	0.104969
YGR078C	YEL001C	0.104881
YLR226W	YGL006W-A	0.104844
YNL031C	YDR224C	0.104783
YHR125W	YFR034W-A	0.104722
YEL065W	YBR208C	0.104626
YPR197C	YPR050C	0.104581
YKL084W	YMR242W-A	0.104485
YHR175W-A	tG(GCC)O2	0.104478
YOR293W	YDR500C	0.104427
YPR167C	YKL001C	0.104395
YEL031W	YBR042C	0.104381
YDL234C	YDR255C	0.104329
YMR325W	YLR158C	0.104315
YAR020C	YOL161C	0.104296
YDR524W-C	YEL033W	0.104259
YLR101C	YKL053W	0.104246
YMR179W	YJL194W	0.104243
YDR286C	YMR035W	0.104189
YDL083C	YJR123W	0.104163
YGL126W	YOL014W	0.104127
YML121W	YOL137W	0.104061
YDR111C	YDR112W	0.103962
YGR135W	YDL097C	0.103799
YGL001C	YBR066C	0.103773
YMR006C	YEL018C-A	0.103686
YEL011W	YER067W	0.103631
YLR402W	YOL037C	0.103622
YKL068W-A	YLR363W-A	0.103601
YDR402C	YLR308W	0.103559
YDR281C	YAR071W	0.103526
YBR208C	YHR137W	0.103507
YNL102W	YDL105W	0.103477
YCR061W	YKR041W	0.103426
YMR202W	YNL280C	0.103386
YLR227C	YHR157W	0.103353
YDR355C	tA(AGC)D	0.103337
YOL101C	tS(AGA)D2	0.103319
YPL253C	YGR109C	0.103316
YJL222W	YFL015W-A	0.103151
YBL108C-A	YJR150C	0.103133
YCL018W	YER081W	0.103061
YOR150W	YDR115W	0.103048
YJL113W	YDR009W	0.103042
YGL259W	YIR039C	0.103002
YDR342C	YGL256W	0.102987
YGR032W	YHR096C	0.102895
YCR064C	tI(AAU)E1	0.102833
YLR110C	YDR328C	0.102829
YER061C	YMR300C	0.102814
YOR078W	YBL071C	0.102799
YMR309C	YGR090W	0.102795
YBR196C-B	YAL019W-A	0.102753
YOL058W	YER068C-A	0.102743
YKL165C	YJL056C	0.10269
YER096W	YNR068C	0.102611
YPL238C	YLR339C	0.102609
YDL161W	YHR219W	0.102591
YOL086W-A	YDR022C	0.102455
YLR185W	YDL061C	0.102442
YIR012W	YBL054W	0.102422
YLR334C	tK(UUU)G1	0.102246
YJL106W	YBR298C	0.102233
YLL066C	YLR413W	0.102183
YGL082W	YOR222W	0.102121
YGR049W	YLR056W	0.102078
YLR312C	YEL069C	0.101947
YIR025W	YMR135W-A	0.101911
YNL066W	YMR006C	0.101893
YLR089C	YOR298W	0.101836
YHL015W	YDR452W	0.101823
YJR019C	YLR178C	0.101757
YOL076W	YDL219W	0.101704
YPL272C	YPR145C-A	0.101634
YDR342C	YBR040W	0.101491
YOR369C	YPL079W	0.101389
YBR208C	YNL142W	0.101326
YCR005C	tA(UGC)A	0.101278
YFL019C	YLR174W	0.10127
YOR012W	YFR012W-A	0.101251
YHR023W	YPR119W	0.10125
YIL169C	snR85	0.101222
YLR361C-A	YIR030W-A	0.10104
YLR442C	YMR257C	0.101013
tS(AGA)J	tA(UGC)G	0.100953
YHR213W-B	YOR008W-B	0.100927
YCR075C	YOR318C	0.100884
YHR187W	YGL214W	0.100881
YGR079W	YOR359W	0.100828
YLR350W	YGL166W	0.100815
YDR090C	YFR055W	0.100771
YER096W	YDR078C	0.100753
YOL084W	YOR289W	0.100738
YPL146C	YIL127C	0.100726
YGL256W	YDR134C	0.100712
YBR158W	YGL028C	0.100619
YOR008W-B	YOR008C-A	0.100578
YNL052W	snR67	0.100554
YDL071C	YMR306C-A	0.100551
YNL322C	YML101C	0.100424
YHR125W	YOL019W-A	0.100311
YOR225W	YPL080C	0.100239
YKL103C	YLL039C	0.100207
YJR027W	YPR158C-D	0.100181
YBR016W	YBR056W-A	0.10016
YDR085C	YFL052W	0.100112
YDL113C	YGL006W	0.100096
YBR202W	YGR090W	0.100092
YJR119C	YJR149W	0.099998
YDR449C	YNL299W	0.099937
YDL079C	YMR206W	0.099882
YJL140W	YHR039C-A	0.099878
YOR298C-A	YOR159C	0.099865
YER188W	YPR037C	0.099857
YHL025W	YAL020C	0.099823
YHR154W	snR38	0.099809
YBR126W-B	YMR304C-A	0.099806
YLR180W	YNL220W	0.09977
YNL280C	YGL001C	0.099765
tA(UGC)E	tQ(UUG)E1	0.099751
YLR303W	YBR093C	0.09971
YLR284C	YDR073W	0.099603
YJL155C	YER142C	0.099597
YER124C	YGL255W	0.099588
YBL043W	YBL071W-A	0.099428
YJL032W	tR(ACG)D	0.099373
YNL005C	YFR041C	0.099306
YFR030W	YPR167C	0.099241
YCR007C	YER185W	0.09924
YGR075C	YDR524W-C	0.099228
YOR309C	YGR228W	0.099219
snR11	YMR086C-A	0.099161
YLR342W-A	YDR446W	0.09903
YEL021W	tN(GUU)C	0.09898
YLR019W	YOR101W	0.098833
YER130C	YLR297W	0.098826
YMR046C	tP(UGG)N1	0.098824
YNL157W	YIL062C	0.098688
YLR363C	YLR262C	0.09868
YNL135C	YDR154C	0.098535
YGR081C	YCR025C	0.098428
YDR528W	YGR079W	0.098426
YBR106W	YLR301W	0.098387
YER160C	YDR261C-D	0.098344
YPR099C	YOR146W	0.098331
YBL005W-A	tP(UGG)N1	0.098316
YOR383C	YEL065W	0.098289
YOR187W	YPR160W	0.098219
YKL198C	tA(UGC)E	0.09814
YGR038C-B	tH(GUG)E1	0.098111
tD(GUC)J1	snR52	0.098072
YML123C	YDR281C	0.098068
YBL108C-A	YAL068C	0.09799
YPL165C	YMR141C	0.09788
YKL095W	YAL053W	0.097838
YOR319W	YGL132W	0.097822
YPL238C	YOL134C	0.097775
YGL256W	YPL033C	0.097711
YCR102C	YCR104W	0.097689
YLR302C	YNL160W	0.097622
YDR277C	YFL052W	0.097514
YBL023C	YPL158C	0.097513
YOL007C	YBR195C	0.097494
YBR226C	tK(UUU)D	0.097475
YEL069C	YIR017W-A	0.097455
YJL133C-A	YER137W-A	0.097404
YHR096C	YGR032W	0.097345
YLR359W	YMR120C	0.097288
YJR154W	YGR065C	0.097287
YDR102C	tA(AGC)M2	0.097273
YOR145C	YCR020C	0.097268
YLR204W	YLR349W	0.097146
YJR097W	YOR225W	0.097113
YJR123W	YDL083C	0.0971
YFL031W	YOR247W	0.096953
YOR387C	YCL018W	0.09693
YBR093C	tT(AGU)O1	0.09688
YOR263C	tV(AAC)M2	0.096879
YOR009W	YBL108C-A	0.096875
YML059C	YER111C	0.096874
YGR243W	YER028C	0.096863
YMR145C	YML091C	0.09679
YML027W	YNL289W	0.096767
YPL060C-A	YAL064W	0.09673
YHR007C	YGR060W	0.096728
YDR183C-A	YKL223W	0.096644
YDR346C	YOL002C	0.096553
YPR016W-A	tA(UGC)L	0.096513
YHL046C	YOL019W-A	0.096511
tG(GCC)D2	tL(UAG)L1	0.096467
tE(UUC)G1	YCL075W	0.096457
YKR094C	YPL220W	0.096378
YMR317W	YOR010C	0.096267
YPL182C	YLR338W	0.096252
YOR248W	YNR044W	0.096244
YAL038W	YHR174W	0.096065
YJL190C	YKR094C	0.09603
YAR002W	YNR028W	0.095995
YNL144C	YBR132C	0.095947
YNL114C	YKL083W	0.095941
YMR056C	YLR056W	0.095877
YPL090C	YPR102C	0.095856
YJL063C	YGL069C	0.095854
YBR078W	YDR033W	0.095824
YBR109W-A	tF(GAA)P2	0.095741
YJR112W-A	YLR050C	0.095682
YOR316C	YDL214C	0.095665
YBL026W	YDR271C	0.095612
YOL108C	YNL097C	0.095535
YLR124W	YGL184C	0.095512
YJR054W	YMR193C-A	0.095482
YLR099W-A	YBR252W	0.095458
YPR137W	YER127W	0.095339
YHR195W	YAL032C	0.095326
YNL007C	YMR254C	0.095314
YKR049C	YNL305C	0.095269
YAR033W	YDR246W-A	0.095266
YOR338W	YJR095W	0.095223
YBL100W-C	YLR296W	0.09516
YML014W	YBR261C	0.095154
YOR175C	YKL165C	0.095145
YOR365C	YPL253C	0.095117
YIL005W	YNL226W	0.095084
YLR435W	YPL029W	0.095072
YDR403W	YDL245C	0.095052
YCR018C-A	tK(UUU)L	0.095003
YMR088C	YGL242C	0.094964
YKL188C	YDL149W	0.094962
YOR128C	YHL036W	0.09496
YKL125W	YJR149W	0.094926
YGR114C	YPR177C	0.094847
YOR146W	YLL044W	0.094798
YDR033W	YBR078W	0.094776
YAL028W	YOR347C	0.094687
YPR078C	YKL163W	0.094673
YOR300W	tT(AGU)O1	0.094659
YNR075C-A	YNR076W	0.094604
YLR294C	YGL188C	0.094586
YMR194W	YMR230W	0.094584
YPR169W-A	tG(GCC)F1	0.09445
YMR206W	YOR374W	0.094443
YMR272C	YNL187W	0.094361
YDL194W	YGR023W	0.09429
YAL042C-A	YIL156W-A	0.094144
YLL013C	YBR229C	0.094132
YLL050C	YDR510W	0.094096
YEL033W	YOR300W	0.09408
YOR315W	YNL065W	0.094057
YJR135W-A	YPL035C	0.094029
YGR201C	YPR145C-A	0.094012
YPR102C	YPL090C	0.094009
YHR193C	YPL143W	0.093979
snR62	tT(AGU)O1	0.093967
YGL255W	YGL028C	0.093923
YPR157W	YBR054W	0.093897
YAL044W-A	YNL300W	0.093878
YOR011W	YBL108C-A	0.093809
YNL033W	YJL225C	0.093795
YOR146W	YJL064W	0.093716
YPL143W	YGR152C	0.093629
snR19	tP(UGG)O3	0.093569
YOR020W-A	YNL115C	0.093557
YKR080W	YAR015W	0.093539
YOL016C	YBR005W	0.093458
YDL066W	YLR426W	0.09345
YKL095W	YKR067W	0.093423
tR(UCU)G3	tY(GUA)J2	0.093405
YJL034W	YKR003W	0.093404
YLR295C	YPR119W	0.09338
YKL035W	YMR250W	0.093323
YCR007C	YER184C	0.093297
YPR005C	YMR204C	0.093295
YNL174W	YPR142C	0.093271
YBR172C	YBL108W	0.093259
YMR006C	YNL066W	0.093246
YLR456W	YLR146W-A	0.093197
YLR061W	YNL162W	0.093106
YPR158C-D	YJR027W	0.093059
YGR229C	YBR124W	0.093005
YBL100C	YBL045C	0.092992
YLR237W	YOL136C	0.092919
YDR517W	YCR073W-A	0.092906
YGL187C	YHR022C	0.092899
YLR084C	YDR184C	0.092883
YBR158W	YJL212C	0.092862
YDR374W-A	YGR151C	0.092828
YBL043W	YLR063W	0.092757
YFL034C-A	YBR250W	0.092705
YLR147C	YJL189W	0.092691
YPL223C	YBR072W	0.092683
YHL001W	YIL019W	0.09267
YPR120C	YML027W	0.092657
YLR056W	YGL001C	0.09263
YMR013C	YPL030W	0.092614
YNL098C	YPR038W	0.09257
YAL042C-A	YPR099C	0.092551
YGR213C	YGR131W	0.09254
YPR146C	YPR130C	0.09248
YPL205C	snR76	0.092478
YLL036C	YNL185C	0.092441
YOR199W	YPR169W-A	0.09244
YOL130W	YGL240W	0.092403
YGR115C	YMR046C	0.092359
YJL133C-A	YMR241W	0.092334
YLR437C-A	YGR121C	0.092324
YDL004W	YLR395C	0.092316
YFL010W-A	YER137W-A	0.092266
YJL042W	YCR030C	0.092192
YBR076C-A	YLR269C	0.092039
YPR160W	YKR106W	0.092018
YHR030C	YKR091W	0.091982
YPR166C	YKL202W	0.091898
YPL109C	YFL054C	0.09188
YIR042C	YIR044C	0.09185
YGR137W	YMR141C	0.091723
YKR102W	YOL085C	0.09169
YNR001W-A	tD(GUC)J2	0.091686
YCR073W-A	YDR517W	0.09164
YFR052C-A	YGL081W	0.091627
YOL126C	YLR420W	0.091541
YGL121C	YMR174C	0.091516
YOL007C	YFR033C	0.091484
YGL031C	YPL146C	0.091421
YPR037C	YOR318C	0.091389
YDR516C	YMR105C	0.091329
YOR146W	YJR022W	0.091237
YJL134W	YOR170W	0.091147
YBR036C	YGR197C	0.091122
YHR071C-A	YDL016C	0.091113
YFR053C	YLR258W	0.091018
YBR203W	YEL069C	0.091009
YGL260W	YMR082C	0.091004
YIL074C	YJR010W	0.090953
YFR055W	YIR031C	0.09091
YJL135W	YIL171W-A	0.090908
YBR106W	YDL100C	0.090905
YBL097W	YLR062C	0.090838
YOR332W	YIL043C	0.090828
YNL148C	YJL063C	0.090828
YMR015C	YPL272C	0.090802
YGR183C	YGR182C	0.09077
YGL258W	tA(AGC)F	0.090727
YBL005W-B	YMR045C	0.090657
YHR155W	YMR280C	0.090615
YGL234W	YMR300C	0.090547
YBL058W	YHR116W	0.090538
YFL010W-A	YBL001C	0.090514
YBL106C	YDL243C	0.090484
YOR099W	YER043C	0.090472
YHR138C	YHR087W	0.090432
YER095W	YCL057C-A	0.090363
YEL064C	YDR399W	0.090356
YOL137W	YML121W	0.090311
YPL143W	YNL162W	0.090307
YDR450W	YML026C	0.090291
YHR187W	YKR047W	0.090284
YLR359W	YHR216W	0.090204
YNL190W	YER062C	0.090157
YDR491C	YDR492W	0.090153
YDR261W-B	tS(AGA)D2	0.090147
YNL203C	YMR324C	0.090119
YLR113W	YJR103W	0.090102
YKL219W	YMR279C	0.090095
YDL217C	YHR166C	0.090036
YOR382W	YDR133C	0.090022
YBR298C	YKR058W	0.089974
YBR031W	YLR340W	0.089964
YNR066C	YDL247W	0.08993
YLR363W-A	snR54	0.089925
YCR091W	YJR115W	0.089915
YGL258W	YPR145W	0.089874
YBR156C	YJL090C	0.089871
YKL178C	YBR202W	0.089856
YPL193W	YBL061C	0.089836
YER081W	YCR102W-A	0.08978
YHR006W	YLR332W	0.089771
YOR294W	YAL037W	0.089724
YBR088C	YDR451C	0.089716
YOL059W	YJR155W	0.08958
YDR209C	YJR022W	0.089567
YEL011W	YER067C-A	0.089542
YNR046W	tA(UGC)E	0.089512
YKL189W	YPR200C	0.089494
YER044C	YIR038C	0.089493
YDL023C	YDL232W	0.08949
YMR011W	YMR291W	0.089475
YGL251C	YBR182C-A	0.089444
YCR024C-B	YHL050C	0.089429
YMR304C-A	YDL016C	0.089378
YMR081C	YGR249W	0.089343
YER152C	YIL154C	0.089342
YLR412W	YCR090C	0.089323
YNR073C	YCR104W	0.089168
YNL078W	snR39B	0.089163
YGR161C-D	YJR162C	0.089119
YLR414C	YJL150W	0.08908
YPR050C	YIL156W-A	0.089076
YLR437C-A	YPL111W	0.089059
YPL136W	tV(AAC)K1	0.089045
YAL037C-A	YGR038C-B	0.088939
YIL156W-A	YJR023C	0.088888
YDR470C	YGR266W	0.088888
YNR069C	YIR005W	0.088845
YPR145C-A	YBR296C	0.088733
YOR237W	YGR213C	0.088705
YGL058W	YPL213W	0.088685
YER146W	YBR118W	0.088628
YLR232W	YFL031C-A	0.088616
YOL127W	YBL092W	0.088568
YIR039C	YMR306W	0.088557
YJR048W	YDL181W	0.088534
YMR056C	YFR018C	0.088509
YGL055W	YOL101C	0.088391
YPL242C	YBR138C	0.088354
YKL171W	YBR150C	0.08833
YIL008W	YER007C-A	0.088329
YDR370C	YDR357C	0.088303
YER111C	YOR355W	0.088278
YPL058C	YNL034W	0.088269
YIR031C	YNL042W-B	0.088244
YJL173C	YGR208W	0.088198
YNL012W	YAL064C-A	0.088196
YNL135C	YPR170W-B	0.088168
YNL293W	YIL117C	0.088135
YDR415C	YEL056W	0.088003
HRA1	YJL130C	0.08793
YDL085C-A	YML055W	0.087918
YJL116C	YMR325W	0.087869
YMR104C	YKL109W	0.087835
tL(UAG)L1	YEL063C	0.087794
YJL142C	YIL113W	0.087737
YOL016C	YMR316C-A	0.087608
YJL212C	YBR158W	0.087606
YHR143W	YNR073C	0.087586
YMR317W	YHL009W-B	0.087561
YHR040W	YPL108W	0.08755
YMR207C	YFR038W	0.08748
YEL042W	YLR197W	0.087464
YPL205C	YDR524W-C	0.087365
YGR161C-D	YLR035C-A	0.087352
YLL046C	YAR009C	0.087344
YGL222C	YGL194C	0.087319
YPR059C	YKL107W	0.087265
YER141W	YDR185C	0.087258
YIR040C	snR190	0.087201
YDL016C	YMR304C-A	0.087193
YGL033W	tE(CUC)I	0.087082
YCL017C	YCL026C-B	0.086943
YHR097C	YMR034C	0.086929
YLR256W	YEL060C	0.086915
YMR309C	YEL048C	0.086872
YDR143C	YJL198W	0.086839
YEL011W	YLR177W	0.086822
YMR251W	YER185W	0.086776
YEL050W-A	tL(CAA)N	0.086757
YJL025W	YLR073C	0.086667
YFL042C	YCL001W-B	0.086659
YJL074C	YDR194C	0.086593
YNL289W	tK(UUU)G2	0.086591
YCL030C	YOR184W	0.086514
YLR294C	YGR182C	0.086511
YPR005C	YDR344C	0.086468
YGR115C	YLR154C-H	0.086453
YNL142W	YBR208C	0.086451
YIL101C	YGR070W	0.086426
YPL131W	YJR117W	0.086424
YHL016C	YDR040C	0.086421
YDL154W	YEL007W	0.086408
YPL111W	YLR437C-A	0.086358
YDL037C	YAR066W	0.086336
YLR252W	YDR003W-A	0.086267
YMR003W	YGR035W-A	0.086264
YCL042W	YJL152W	0.086256
YBL005W-B	YGR027W-B	0.086246
YPR078C	YGL263W	0.086219
YPR167C	YNL276C	0.086217
YER001W	YJL180C	0.086208
YFL009W	YOL050C	0.08618
YIL120W	YGR225W	0.086128
YHR065C	YKL130C	0.086128
YML110C	YOL069W	0.086044
YML017W	YLR379W	0.08604
YGR169C-A	LSR1	0.086034
YKR053C	YGR043C	0.086001
YDR034C-D	YOR192C-B	0.085986
YGL187C	YGL188C	0.085923
YLR092W	YKR069W	0.0859
YMR006C	YER145C	0.085854
YKL151C	YDR034W-B	0.085819
YER067W	YFR015C	0.08578
YLR226W	YER175W-A	0.085693
YDR040C	YGL039W	0.08559
YKL098W	YER076C	0.085571
YLR269C	YKL183C-A	0.085535
YOR326W	YCL037C	0.085533
YOR383C	YHL047C	0.085498
snR30	snR128	0.085495
YDL048C	YBL069W	0.085484
YML090W	YDR524C-A	0.085482
YDR261W-B	YOL101C	0.085463
YNL305C	YLR178C	0.08545
YNR054C	YOR091W	0.085428
YCR101C	tT(UGU)G2	0.085408
YJL219W	YGL041C-B	0.08539
YBR200W-A	tR(UCU)E	0.08531
YOL110W	YJR020W	0.085305
YDR448W	YNR051C	0.085248
YJL032W	YIL100C-A	0.085173
YKR058W	YGR290W	0.085153
YBL071W-A	YJL025W	0.08514
YGL221C	YIL043C	0.08514
YDR118W	YBR020W	0.085109
YPL266W	YDR120C	0.085103
YHR073W	YOL028C	0.085091
YDR482C	YGL166W	0.085048
YDL187C	RDN5-6	0.084945
YDL227C	snR85	0.084937
YPR099C	YOR102W	0.084927
YGL187C	YJL102W	0.08489
YOR179C	YMR284W	0.084884
YLR438C-A	YDR154C	0.084876
YGL162W	YKL030W	0.084785
YNL187W	YMR002W	0.084765
snR52	YBL008W-A	0.084694
YKL118W	YIL086C	0.084685
YGL121C	YDR070C	0.084677
YHR092C	YBR298C	0.084624
YML009C-A	YKL220C	0.084621
YGL158W	YKR075C	0.084618
YCL009C	YDR384C	0.0846
YDR303C	YBR233W	0.084541
YOR348C	YGR121C	0.084483
YFL010C	YJR116W	0.08448
YDL152W	YGR114C	0.084448
snR39	tQ(UUG)D3	0.084404
YKR094C	YPR102C	0.084384
YAL053W	YJL082W	0.08431
YMR092C	YGR132C	0.084295
YPR012W	YBR191W-A	0.084262
YMR316C-A	tF(GAA)G	0.084176
YKL118W	tR(UCU)G3	0.084156
YER123W	YKL209C	0.084096
YEL024W	YDR298C	0.084064
YGR167W	YKL003C	0.084004
YNR037C	YPL213W	0.083993
YLL005C	YAL067C	0.08398
YLR365W	tL(UAA)K	0.083956
YOR338W	YPL026C	0.083916
YGR256W	tT(AGU)O1	0.083804
YDR098C	YDL050C	0.083734
YHR169W	YHR085W	0.083673
YKR024C	YOR359W	0.08362
YMR006C	YBR265W	0.083557
YMR304W	YLR393W	0.083552
YOR078W	YCR018C	0.083536
YDR449C	YNL065W	0.083516
YER145C-A	YOR331C	0.083472
YBR226C	YBR191W-A	0.083429
YMR118C	YGR233C	0.08342
YGL096W	YJL102W	0.083285
RUF20	RUF21	0.083281
YJL056C	YDR515W	0.083275
YGR008C	YGL037C	0.083177
YIR040C	YOR388C	0.083088
YCL042W	YDL016C	0.083085
YLR037C	YPR001W	0.083007
YLR406C	YLR264C-A	0.082994
YMR182W-A	tV(AAC)L	0.08297
YJR003C	YKR103W	0.082947
YGR065C	YJR154W	0.082924
YNL054W-B	YOR298W	0.082918
YLR258W	YPL004C	0.082876
YLR341W	YKR106W	0.082866
YLL044W	YJR018W	0.082839
YPR078C	YAR053W	0.082839
YIL059C	tG(CCC)D	0.082812
YMR179W	YML027W	0.082809
YPR010C-A	YPR020W	0.082755
YHR137W	tP(UGG)M	0.082721
YJR085C	YJL151C	0.082711
YML028W	YNR044W	0.082663
YLR228C	YIL117C	0.082648
YOR037W	snR76	0.082642
YDR299W	YDL003W	0.082622
YJR061W	YNL012W	0.082611
YMR276W	YHL025W	0.082602
YNL171C	YNL277W-A	0.082594
YEL020C-B	YOL134C	0.082579
YJL001W	YOR045W	0.082579
YOR360C	YHR069C-A	0.082573
tL(CAA)D	YCL075W	0.082559
YOR187W	YPL078C	0.082558
YMR175W	YMR015C	0.08254
YOR359W	YDR528W	0.082492
YNL147W	YML036W	0.082447
YPL109C	YCR100C	0.082439
YKL121W	YLR031W	0.082432
YBR241C	YCR061W	0.082425
YOL164W-A	YCL026C-A	0.082401
YER081W	YLR348C	0.082356
YBL072C	YER102W	0.082346
YOR043W	YPL105C	0.082333
YDR155C	YGL221C	0.082305
YBL030C	YFR033C	0.082271
YHR183W	YHR163W	0.082232
YDL136W	YLR339C	0.082223
YNR065C	YPL189W	0.082221
YNL309W	YGR068C	0.082181
YOR331C	YPR043W	0.082167
YDR098C	YHR039C-A	0.082158
YOR184W	YMR321C	0.08211
YIR030C	YKR012C	0.082091
YIL113W	YHL015W-A	0.08209
YLR142W	YBR056W-A	0.082055
YNL173C	YOL048C	0.082005
YNR069C	YDR169C-A	0.081991
tG(GCC)O2	YPR169W-A	0.081989
snR52	tD(GUC)J1	0.08198
YOR316C-A	tS(AGA)H	0.081978
YNL031C	YFR036W-A	0.081958
YPL064C	YJL003W	0.081953
YIL021W	YLR112W	0.081947
YDR134C	YKL096W	0.081931
YJR014W	YDL085C-A	0.081915
YNL280C	YMR202W	0.081867
YER023W	YLR110C	0.081852
YBL001C	YFL010W-A	0.081834
YDL241W	YMR321C	0.081801
YFL017C	YGR275W	0.08178
YBR042C	YEL031W	0.081751
YPL174C	YLR225C	0.081689
YNL322C	YFR035C	0.081625
YPL090C	YBR181C	0.081618
YGR032W	YGR161C	0.081553
YDR012W	YOR229W	0.081531
YGR201C	YGR175C	0.081385
YLR118C	YOR278W	0.08127
YKL106W	YLR063W	0.081259
YDL199C	YGL254W	0.081246
YLR068W	YJL148W	0.081243
YDR396W	YLR101C	0.081193
YJL048C	YLR281C	0.081181
YOR103C	YNL084C	0.081126
YDR119W	YER055C	0.081097
YGR192C	YJR017C	0.081054
YKR053C	YGR131W	0.081045
YLR302C	YLR303W	0.081045
YER102W	YBL072C	0.081006
YLR267W	YEL071W	0.08089
YDR524W-C	YKL044W	0.08081
YIL177C	YGL103W	0.080778
YLR121C	YPL221W	0.080759
tF(GAA)D	tP(AGG)C	0.080738
YOR347C	YAL028W	0.080737
YMR264W	YDR154C	0.080706
YMR075C-A	snR191	0.080697
YGR120C	YLR064W	0.080673
YIL043C	YFL038C	0.080672
YDR379C-A	YCR018C	0.080656
YDL098C	YPL209C	0.080654
YHR094C	YER040W	0.080643
YJL121C	YAL044W-A	0.080638
YIL043C	YGL221C	0.080622
YKL125W	YMR015C	0.08061
YER067C-A	YLR177W	0.080578
YPR020W	YPR119W	0.080571
YOL165C	YDR501W	0.080519
YOR058C	YJL051W	0.080508
YLR342W-A	YDR406W-A	0.080455
YGR256W	YMR169C	0.080443
YGR221C	YGR045C	0.080375
YPR012W	tD(GUC)O	0.08036
tA(AGC)F	YOL091W	0.080352
YDL052C	YGR037C	0.080347
YDR209C	YNR044W	0.080336
YNL251C	YFL012W	0.080317
YOR272W	YDR045C	0.080315
YGL121C	YGR088W	0.0803
YPR160W	YML128C	0.080241
YBR126W-B	YOR300W	0.080224
YJL045W	YIL066C	0.080217
YGR286C	YGR065C	0.080197
YMR169C	YGR256W	0.080178
YNL305C	YBR214W	0.08017
YER127W	YPR137W	0.080145
YMR169C	YDR070C	0.080102
YBR197C	YIL153W	0.080097
YDL248W	YNL336W	0.080063
YDR085C	YGR292W	0.080059
YDL097C	YGR135W	0.080018
YOL151W	YNL134C	0.080015
YOR344C	YDL048C	0.080004
YLL012W	YKL106W	0.079978
YGL131C	YPR117W	0.07993
YMR011W	YER085C	0.079929
YLR061W	YDL228C	0.079852
YNL160W	YLR395C	0.07983
YDR234W	YHR020W	0.079791
YER165C-A	tE(UUC)E1	0.07972
YKL030W	YFL021C-A	0.079711
YCL043C	YOR247W	0.079673
YGR289C	YNL144C	0.07966
YEL060C	YHR087W	0.079636
YJL034W	YML130C	0.079598
YPL072W	YOR107W	0.079591
YNL202W	tL(UAA)N	0.079587
RUF21	YDL159W-A	0.079539
YNL124W	YBL081W	0.079537
YBL091C	YML078W	0.079535
YLR438W	YGR121C	0.079528
YGL165C	tI(AAU)P1	0.079513
YJL110C	YFR034W-A	0.079488
YLL057C	YLL052C	0.079481
YDL012C	YPR035W	0.07944
YKR061W	YBR203W	0.079434
YGL021W	YLR297W	0.079392
YHR180W	YOL157C	0.079324
YPR027C	snR39B	0.079301
tE(UUC)J	tD(GUC)J4	0.079274
YNL169C	YLR132C	0.079256
tD(GUC)N	tS(AGA)D2	0.079246
YCL008C	YJR017C	0.079234
YIL120W	YGL032C	0.079062
YPR145C-A	YHR136C	0.079053
YHR085W	YHR169W	0.079007
YER079C-A	YBL005W-A	0.078988
YBR157C	tQ(UUG)D2	0.078942
YBL030C	YHR051W	0.07892
YOR100C	YOL165C	0.07891
YER175W-A	YEL048C	0.078892
YLR367W	YML094W	0.078888
YBR241C	YNL006W	0.078846
YOR313C	YHL028W	0.078845
YKL163W	YCL048W	0.078826
YLR056W	YGR049W	0.078823
YDR073W	YJL043W	0.07882
YER023W	YDR328C	0.078804
YLR363W-A	YKL068W-A	0.0788
YHR122W	YLR027C	0.078795
YKL162C-A	YEL030C-A	0.078787
YBR111W-A	YDR179C	0.078777
YPR169W-A	YDR024W	0.078763
YOL032W	YBR101C	0.078744
YDR325W	YER048W-A	0.078731
RUF20	YKR030W	0.078724
YER158C	YJL079C	0.078685
YJL198W	YDR143C	0.078663
