Protein1	Protein2	Score
YDL185W	YER120W	0.164539
YLR167W	YML126C	0.164444
YNL007C	YDL086W	0.163332
YOR224C	YDL014W	0.162956
YAR007C	YHR200W	0.162759
YKL085W	YER009W	0.161482
YGL031C	YBL039C	0.161358
YNR021W	YIL078W	0.160957
YBR196C	YDR174W	0.160430
YJR007W	YNR017W	0.160253
YOL154W	YHR208W	0.160209
YMR307W	YER003C	0.159605
YJR109C	YGL148W	0.159233
YDL066W	YDL125C	0.159129
YGL147C	YPL111W	0.159112
YJR073C	YLR447C	0.159110
YAR015W	YGL234W	0.158886
YPL117C	YBL064C	0.158512
YNL244C	YLL050C	0.158467
YER036C	YHR027C	0.157818
YHR200W	YAR007C	0.157660
YGL245W	YLR175W	0.157557
YDL185W	YLR259C	0.157382
YOR298C-A	YDL103C	0.156994
YKL006W	YNL141W	0.156128
YDL160C	YFR010W	0.155698
YPR181C	YHR089C	0.155338
YOL064C	YIL074C	0.155058
YOR198C	YLR304C	0.154004
YBL024W	YNL121C	0.152986
YEL071W	YER055C	0.152964
YDL086W	YMR039C	0.152791
YCR053W	YER178W	0.152599
YNL007C	YML078W	0.152321
YPL237W	YCL037C	0.152058
YBL041W	YGR279C	0.151971
YBR072W	YJL052W	0.151918
YOR063W	YLR029C	0.151469
YER091C	YOL097C	0.151448
YGL187C	YBL030C	0.150512
YHL001W	YLR216C	0.150393
YFR053C	YKL035W	0.148803
YBL064C	YPL117C	0.148786
YLR259C	YFL005W	0.147950
YER091C	YMR027W	0.147689
YML070W	YPL028W	0.147243
YOR310C	YFL045C	0.147088
YLR153C	YGL039W	0.146602
YMR217W	YHR183W	0.145224
YLL018C	YGL234W	0.144511
YBR126C	YDL022W	0.144477
YPR028W	YNL141W	0.144152
YBR248C	YIL094C	0.142507
YLR175W	YIL078W	0.142114
YPL028W	YFL018C	0.141710
YOR298C-A	YNL044W	0.140729
YPR035W	YNR050C	0.140450
YNL069C	YGL147C	0.140156
YHR020W	YGR240C	0.139716
YOR369C	YPR036W	0.139014
YPL262W	YKR042W	0.138972
YML126C	YKL080W	0.138651
YDL055C	YER003C	0.138330
YGR204W	YGR094W	0.137796
YCR088W	YKL210W	0.137718
YDL124W	YDR382W	0.136915
YFL039C	YKL007W	0.136732
YER025W	YLR249W	0.136727
YPR074C	YOL143C	0.136455
