Protein1	Protein2	Score
YAR015W	YMR120C	0.068419
YOR332W	YAL007C	0.068316
YHL015W	YLR340W	0.068248
YPL154C	YNL007C	0.068183
YDL208W	YER091C	0.068160
YPL262W	YDR092W	0.067983
YIL094C	YMR226C	0.067949
YMR039C	YOR362C	0.067924
YML070W	YPL154C	0.067904
YJL130C	YPR035W	0.067812
YKR048C	YOR198C	0.067780
YNR050C	YPR035W	0.067758
YGR155W	YER133W	0.067727
YER086W	YDR098C	0.067671
YHR029C	YBL064C	0.067659
YDR092W	YMR226C	0.067639
YMR203W	YBL026W	0.067594
YDR214W	YJL001W	0.067590
YGL253W	YPL218W	0.067588
YMR099C	YJR007W	0.067556
YMR038C	YHR179W	0.067546
YDR037W	YOR335C	0.067454
YFL039C	YPR183W	0.067447
YJL034W	YDR188W	0.067390
YOL154W	YER052C	0.067299
YOL154W	YER073W	0.067268
YDR071C	YNL067W	0.067259
YGR159C	YDL007W	0.067238
YGL105W	YNL287W	0.067101
YPL160W	YGL008C	0.067070
YEL037C	YIL142W	0.067016
YBR121C	YDR037W	0.067003
YNL209W	YER025W	0.066941
YKL009W	YOR317W	0.066930
YAR015W	YGL039W	0.066908
YOL039W	YLR447C	0.066741
YGR204W	YMR120C	0.066737
YDR238C	YDR368W	0.066626
YDL125C	YAR015W	0.066622
YER165W	YDR500C	0.066453
YDR037W	YHR020W	0.066415
YOR369C	YPR028W	0.066346
YDR158W	YBR248C	0.066116
YBR177C	YPL143W	0.066058
YAL003W	YGL076C	0.066023
YIL116W	YDL198C	0.066013
YDR483W	YAL005C	0.066007
YKL196C	YNL098C	0.065998
YPL218W	YCL040W	0.065994
YPR069C	YKL081W	0.065970
YAR015W	YNR050C	0.065885
YJL177W	YHR174W	0.065799
YNL104C	YMR062C	0.065789
YML056C	YLR448W	0.065768
YDR035W	YOR230W	0.065750
YDL066W	YNL255C	0.065734
YLR244C	YFL039C	0.065673
YAL038W	YNL178W	0.065636
YBR263W	YCR012W	0.065631
YDL131W	YOL058W	0.065525
YPR069C	YLR180W	0.065476
YDR353W	YLR180W	0.065442
YER009W	YHR193C	0.065351
YBR127C	YMR116C	0.065342
YDR382W	YDL007W	0.065267
YDL198C	YIL116W	0.065260
YGL148W	YGL039W	0.065149
YMR116C	YBR127C	0.065012
YJR104C	YIL022W	0.064919
YFL039C	YOR362C	0.064907
YBR249C	YDR035W	0.064878
YDL007W	YDR382W	0.064854
YIL094C	YBR248C	0.064833
YGR155W	YJR064W	0.064802
YNL055C	YNL134C	0.064800
YOL154W	YDR158W	0.064772
YDR174W	YDR071C	0.064558
YJR070C	YLR388W	0.064537
YBR121C	YML086C	0.064511
YBR011C	YJR139C	0.064476
YER052C	YGL148W	0.064326
YFL037W	YOR198C	0.064325
YGL148W	YHR179W	0.064286
YIL051C	YKL142W	0.064286
YGL039W	YLR153C	0.064225
YER073W	YNL241C	0.064102
YER081W	YOR285W	0.064075
YGL148W	YMR038C	0.063953
YKL196C	YAL005C	0.063930
YDL208W	YGR264C	0.063914
YNL007C	YPL117C	0.063910
YDR510W	YGR279C	0.063843
YER091C	YBL041W	0.063786
YGR285C	YKR001C	0.063768
YER036C	YJL177W	0.063763
YDL051W	YKL117W	0.063759
YMR099C	YLR109W	0.063617
YGL147C	YFL045C	0.063574
YLR448W	YGL031C	0.063565
YBR177C	YAR002C-A	0.063522
YHR193C	YER009W	0.063423
YOR142W	YPL004C	0.063410
YNL131W	YML022W	0.063349
YDR381W	YBR088C	0.063321
YML126C	YAL005C	0.063298
YBR196C	YDL208W	0.063242
YDR172W	YER043C	0.063211
YDL229W	YJL111W	0.063172
YLR109W	YIL022W	0.063053
YKL120W	YCL030C	0.062970
YNL007C	YJL001W	0.062970
YNL037C	YNL255C	0.062944
YBR035C	YHR018C	0.062880
YGR173W	YIL118W	0.062808
YNL160W	YDL022W	0.062797
YLR043C	YNL239W	0.062785
YLR043C	YER177W	0.062776
YHR019C	YER036C	0.062740
YML073C	YOR332W	0.062709
YLR216C	YKL007W	0.062707
YDR064W	YDL124W	0.062663
YLR153C	YDR098C	0.062638
YER073W	YNL104C	0.062613
YER043C	YOL109W	0.062479
YOR184W	YER055C	0.062476
YFL037W	YKR048C	0.062328
YNL209W	YOL109W	0.062282
YIL041W	YGR253C	0.062187
YLR355C	YNL055C	0.062116
YER036C	YBL039C	0.062101
YML022W	YNL131W	0.062026
YEL034W	YPL218W	0.061992
YHR183W	YPR074C	0.061989
YPR036W	YOR369C	0.061927
YAR015W	YDL125C	0.061902
YDL131W	YER090W	0.061893
YIL074C	YOL064C	0.061872
YPL131W	YER156C	0.061827
YBR106W	YJR064W	0.061825
YOR335C	YMR205C	0.061824
YDL229W	YLL024C	0.061815
YGL147C	YGL009C	0.061786
YDR353W	YLR150W	0.061781
YBR248C	YDR035W	0.061731
YOR027W	YDL103C	0.061686
YCR004C	YDR214W	0.061680
YJR073C	YPL143W	0.061647
YER043C	YDR212W	0.061590
YJR073C	YML063W	0.061579
YPL004C	YOR375C	0.061571
YIL133C	YOR361C	0.061562
YMR092C	YIL078W	0.061479
YHL021C	YER086W	0.061446
YGR148C	YDR429C	0.061431
YDR035W	YBR249C	0.061382
YDR037W	YLL018C	0.061350
YDR385W	YGL103W	0.061304
YLR153C	YPL160W	0.061294
YFL045C	YGL147C	0.061266
YGR234W	YOL143C	0.061219
YDL124W	YKL056C	0.061171
YKL120W	YIL116W	0.061166
YDL055C	YFL045C	0.061070
YKL120W	YER069W	0.061067
YLR185W	YEL037C	0.061025
YOL039W	YML028W	0.060974
YJR070C	YPR036W	0.060912
YGR285C	YOR063W	0.060912
YOR310C	YPR074C	0.060895
YPL111W	YGL147C	0.060878
YPR183W	YDR092W	0.060873
YDR174W	YPL061W	0.060852
YNL121C	YLR180W	0.060845
YER052C	YBR248C	0.060736
YER086W	YIL094C	0.060653
YHR018C	YER178W	0.060587
YKR048C	YGR086C	0.060468
YGR148C	YGL031C	0.060390
YNL037C	YER069W	0.060250
YOR142W	YGR282C	0.060236
YJR016C	YHR029C	0.060148
YNL209W	YMR116C	0.060148
YJR073C	YDR321W	0.060146
YNR021W	YDL029W	0.060144
YLL018C	YDR037W	0.060118
YDL124W	YDR064W	0.060053
YGL147C	YER036C	0.059998
YHL021C	YJL060W	0.059867
YIL078W	YOR335C	0.059813
YDR172W	YNL112W	0.059813
YOR310C	YOR204W	0.059781
YOR042W	YLL050C	0.059780
YDR188W	YGL105W	0.059761
YGL253W	YDR238C	0.059742
YJR007W	YOR117W	0.059457
YEL037C	YLR185W	0.059380
YPR129W	YMR315W	0.059352
YLR355C	YPL111W	0.059275
YLR421C	YEL002C	0.059241
YBL030C	YPR191W	0.059217
YHR019C	YLR197W	0.059184
YMR260C	YMR315W	0.059177
YFL005W	YOR298C-A	0.059162
YIL142W	YFL037W	0.059110
YDR341C	YLR179C	0.058922
YER165W	YER025W	0.058919
YHR208W	YDL198C	0.058870
YDL022W	YBR126C	0.058841
YGR240C	YLL018C	0.058799
YPL237W	YNL287W	0.058773
YJR016C	YOL064C	0.058715
YER069W	YER090W	0.058686
YOL058W	YEL046C	0.058648
YER091C	YBR011C	0.058582
YLR058C	YEL046C	0.058578
YJR109C	YDR341C	0.058565
YLR167W	YOR096W	0.058560
YLR109W	YCR012W	0.058559
YJR148W	YBR249C	0.058553
YML056C	YJL111W	0.058526
YDR129C	YJR104C	0.058521
YOR232W	YDR238C	0.058520
YJL167W	YLR216C	0.058501
YLR175W	YGL105W	0.058420
YMR203W	YCR004C	0.058416
YOR027W	YPL225W	0.058286
YDR174W	YBR196C	0.058265
YDR064W	YPR036W	0.058181
YGL253W	YAL012W	0.058175
YEL037C	YFL037W	0.058128
YOR362C	YJR014W	0.058066
YPR165W	YCR004C	0.057892
YIL041W	YLR216C	0.057808
YER003C	YBR106W	0.057756
YLR185W	YDL185W	0.057676
YML063W	YDR321W	0.057660
YDR353W	YML028W	0.057605
YDR429C	YHL015W	0.057594
YLR448W	YML056C	0.057588
YGL147C	YER023W	0.057514
YOL154W	YPL154C	0.057409
YBL092W	YGR124W	0.057371
YER025W	YPR181C	0.057253
YDL055C	YGL009C	0.057146
YOR332W	YHR183W	0.057075
YDL131W	YER069W	0.057070
YPL117C	YPL154C	0.057067
YOR063W	YGR285C	0.056995
YEL037C	YHL015W	0.056884
YDR129C	YDL014W	0.056853
YMR116C	YDR353W	0.056815
YMR315W	YMR260C	0.056768
YJR007W	YBL026W	0.056764
YGR086C	YBR160W	0.056737
YAL012W	YGL253W	0.056725
YMR203W	YPL091W	0.056692
YPL004C	YOL143C	0.056644
YPL119C	YNL121C	0.056634
YPL106C	YJR139C	0.056607
YFR053C	YDR382W	0.056594
YOR096W	YAR007C	0.056590
YBL030C	YER009W	0.056546
YGL031C	YER023W	0.056520
YJR070C	YLR354C	0.056500
YDL029W	YNR021W	0.056498
YNL112W	YJR064W	0.056450
YHR064C	YKL181W	0.056367
YHR068W	YDL208W	0.056338
YOL086C	YCL009C	0.056329
YJL014W	YER036C	0.056326
YGL009C	YER081W	0.056319
YGR264C	YDR368W	0.056315
YNL209W	YGL200C	0.056315
YLR196W	YBR221C	0.056300
YMR205C	YPL226W	0.056270
YNL037C	YIL094C	0.056245
YMR205C	YBL076C	0.056237
YOR230W	YBR249C	0.056231
YNL112W	YOR204W	0.056062
YEL002C	YOL139C	0.055986
YCL043C	YLR388W	0.055976
YDR155C	YER177W	0.055968
YER120W	YPL237W	0.055946
YLR028C	YLR344W	0.055898
YHR174W	YPL119C	0.055877
YDL061C	YLR075W	0.055847
YDR172W	YHR019C	0.055770
YNL131W	YNR001C	0.055731
YGL026C	YCR053W	0.055701
YDL185W	YBR196C	0.055695
YJR121W	YAL005C	0.055684
YLR259C	YNL044W	0.055683
YER009W	YNR001C	0.055610
YLR109W	YGR282C	0.055608
YHR193C	YNR017W	0.055588
YKL067W	YIL022W	0.055530
YLR180W	YDR381W	0.055494
YJR070C	YNR017W	0.055461
YLR180W	YDR353W	0.055442
YNR017W	YJR007W	0.055432
YDR158W	YOL064C	0.055430
YLR244C	YGR264C	0.055404
YJR148W	YER052C	0.055384
YDR035W	YBR248C	0.055376
YOR310C	YHR027C	0.055296
YLR027C	YEL047C	0.055271
YHR020W	YOR335C	0.055248
YML126C	YNR021W	0.055186
YJR148W	YGL026C	0.055170
YGL031C	YHR163W	0.055163
YMR092C	YDL185W	0.055096
YIL051C	YIL094C	0.055059
YGR086C	YLR043C	0.055013
YGR175C	YPL028W	0.054996
YMR300C	YJR109C	0.054933
YER090W	YGL148W	0.054932
YFL037W	YFR010W	0.054872
YJR139C	YJL130C	0.054783
YIL053W	YNL220W	0.054768
YER055C	YLR179C	0.054734
YER025W	YLR175W	0.054699
YNL178W	YAL038W	0.054681
YGL026C	YMR300C	0.054679
YLR354C	YJR070C	0.054674
YMR217W	YLR340W	0.054671
YGR148C	YER023W	0.054624
YPL131W	YKL056C	0.054515
YJL014W	YHR027C	0.054484
YBR035C	YNL220W	0.054483
YLR109W	YJL172W	0.054457
YBL041W	YOL139C	0.054440
YDR129C	YIL078W	0.054439
YGR285C	YLL024C	0.054380
YLR150W	YNL112W	0.054317
YBR221C	YAR007C	0.054303
YER165W	YOR063W	0.054262
YER165W	YCL011C	0.054223
YAL003W	YLR388W	0.054163
YMR315W	YML086C	0.054154
YBL041W	YLR406C	0.054153
YAL003W	YDL061C	0.054140
YOR232W	YML078W	0.054070
YBR248C	YOL064C	0.054059
YOL097C	YER091C	0.054056
YIL022W	YJR104C	0.053937
YER165W	YAL038W	0.053923
YMR116C	YKL196C	0.053915
YDR353W	YKL181W	0.053887
YJR109C	YGR094W	0.053876
YHR018C	YMR038C	0.053869
YDR500C	YGR285C	0.053830
YNL069C	YML022W	0.053763
YLR075W	YPL249C-A	0.053739
YDR429C	YGL123W	0.053711
YCL030C	YER069W	0.053672
YIL041W	YPR036W	0.053644
YGR204W	YPL111W	0.053633
YNL112W	YER043C	0.053622
YDL066W	YOR323C	0.053584
YGR086C	YLR028C	0.053485
YLR406C	YNL131W	0.053390
YLR249W	YNL069C	0.053356
YGR282C	YBL064C	0.053346
YGL105W	YDL143W	0.053316
YLR340W	YHL015W	0.053117
YGR253C	YLR216C	0.053078
YER090W	YER178W	0.053054
YHR163W	YPL143W	0.053036
YNL134C	YGR180C	0.053025
YNL112W	YGR155W	0.053019
YGR264C	YDL051W	0.053006
YML086C	YNL016W	0.053001
YNL135C	YFL039C	0.052981
YPR145W	YHR063C	0.052978
YOR117W	YOR374W	0.052770
YLR244C	YDL185W	0.052732
YOR232W	YIL118W	0.052684
YLR262C-A	YGL011C	0.052575
YFR004W	YLR208W	0.052564
YOR063W	YLR448W	0.052563
YFL045C	YLR249W	0.052545
YPR181C	YNL121C	0.052529
YBR196C	YDL014W	0.052475
YIL116W	YER069W	0.052420
YPL111W	YNL069C	0.052412
YER133W	YAL012W	0.052405
YGL105W	YKR048C	0.052399
YOL154W	YDL182W	0.052332
YDL160C	YKL196C	0.052320
YKL009W	YNL096C	0.052305
YPL143W	YLR300W	0.052237
YKL006W	YML022W	0.052157
YMR083W	YCL009C	0.052131
YGL123W	YLR259C	0.052117
YLR180W	YBL024W	0.052077
YDL143W	YAR007C	0.052040
YKL120W	YER090W	0.052032
YBR121C	YER091C	0.051968
YPL131W	YHL015W	0.051940
YBL092W	YCL037C	0.051938
YHR027C	YER025W	0.051934
YKL120W	YHR018C	0.051923
YJR077C	YPL004C	0.051901
YFR004W	YNL096C	0.051843
YER073W	YER086W	0.051805
YDR158W	YER055C	0.051790
YOR332W	YDR429C	0.051717
YEL002C	YLR421C	0.051710
YGL031C	YHR128W	0.051586
YHR208W	YOL064C	0.051497
YML086C	YAR007C	0.051395
YNL104C	YDL182W	0.051393
YLR180W	YBR088C	0.051379
YER052C	YEL071W	0.051297
YLR216C	YDR155C	0.051236
YGR180C	YHR179W	0.051235
YKL035W	YJL034W	0.051225
YOR117W	YKL080W	0.051213
YGL202W	YMR039C	0.051191
YMR116C	YEL034W	0.051168
YPL262W	YMR099C	0.051140
YPL218W	YAR007C	0.051080
YNL178W	YGR148C	0.051070
YGL187C	YGR034W	0.051066
YLR197W	YPR069C	0.051063
YDR346C	YOR042W	0.051044
YIL142W	YLR259C	0.051040
YLR421C	YOL139C	0.051032
YGL123W	YOR198C	0.051016
YJL167W	YHR190W	0.051000
YHL015W	YLR185W	0.050977
YGR175C	YCR088W	0.050965
YLR300W	YAL005C	0.050941
YMR217W	YGL076C	0.050933
YOR187W	YAL003W	0.050912
YOR042W	YMR027W	0.050830
YNL141W	YDR321W	0.050821
YGR285C	YDR500C	0.050792
YDR214W	YIL033C	0.050752
YFR030W	YNL241C	0.050738
YGL187C	YLR262C-A	0.050723
YBR249C	YHR029C	0.050702
YER057C	YDR190C	0.050695
YER003C	YDL055C	0.050653
YJR025C	YNL104C	0.050631
YFR044C	YAR007C	0.050619
YPR074C	YPL091W	0.050498
YBR248C	YLR448W	0.050449
YNL069C	YPL111W	0.050257
YCL009C	YJR045C	0.050225
YOR232W	YDR368W	0.050145
YNL104C	YBL064C	0.050127
YLR150W	YER043C	0.050119
YGR086C	YER177W	0.050114
YEL046C	YNL255C	0.050076
YPR028W	YGR253C	0.050030
